record_type,identifier,reference,status,evidence_level,freshness,selected_subjects,assessed_subjects,failed_subjects,unavailable_subjects,proof_digests,verification_status,verifier,diagnostic_severity,count
analysis,compliance-analysis:sha256:64bebc89236d5b397bc517dd99f3e9814e5141531ac55d87e813b236439ab9fc,e172491854b93582cc54ef915f9e7590bda8eb95d314f05bc02d9b0e3718cc7f,graph_valid=true,,,,,,,,,,,
assertion,G8E-IA-NOTARY-001,G8E-IA-NOTARY-001@2.0.0,not_applicable,L0,not_applicable,0,0,0,0,,,assertion_assessment@2.2.0,,
assertion,G8E-CM-STATE-001,G8E-CM-STATE-001@2.0.0,not_applicable,L0,not_applicable,0,0,0,0,,,assertion_assessment@2.2.0,,
assertion,G8E-AU-COMMIT-001,G8E-AU-COMMIT-001@2.0.0,not_applicable,L0,not_applicable,0,0,0,0,,,assertion_assessment@2.2.0,,
assertion,G8E-IA-MTLS-001,G8E-IA-MTLS-001@2.0.0,not_applicable,L0,not_applicable,0,0,0,0,,,assertion_assessment@2.2.0,,
assertion,G8E-AU-PERSIST-001,G8E-AU-PERSIST-001@2.0.0,not_applicable,L0,not_applicable,0,0,0,0,,,assertion_assessment@2.2.0,,
assertion,G8E-GOV-ALLOW-001,G8E-GOV-ALLOW-001@2.0.0,unverifiable,L0,incomplete,0,0,0,0,,,assertion_assessment@2.2.0,,
assertion,G8E-AU-CHAIN-001,G8E-AU-CHAIN-001@2.0.0,unverifiable,L0,incomplete,0,0,0,0,,,assertion_assessment@2.2.0,,
assertion,G8E-AU-RECEIPT-001,G8E-AU-RECEIPT-001@2.0.0,not_applicable,L0,not_applicable,0,0,0,0,,,assertion_assessment@2.2.0,,
assertion,G8E-GOV-BLOCK-001,G8E-GOV-BLOCK-001@2.0.0,unverifiable,L0,incomplete,0,0,0,0,,,assertion_assessment@2.2.0,,
assertion,G8E-DLP-DETECT-001,G8E-DLP-DETECT-001@2.0.0,not_applicable,L0,not_applicable,0,0,0,0,,,assertion_assessment@2.2.0,,
assertion,G8E-DLP-REHYDRATE-001,G8E-DLP-REHYDRATE-001@2.0.0,not_applicable,L0,not_applicable,0,0,0,0,,,assertion_assessment@2.2.0,,
assertion,G8E-DLP-BOUNDARY-001,G8E-DLP-BOUNDARY-001@2.0.0,not_applicable,L0,not_applicable,0,0,0,0,,,assertion_assessment@2.2.0,,
assertion,G8E-CRYPTO-FIPS-001,G8E-CRYPTO-FIPS-001@2.0.0,not_applicable,L0,not_applicable,0,0,0,0,,,assertion_assessment@2.2.0,,
framework_control,KSI-MLA-08,fedramp-20x@CR26-2026-06-24,unverifiable,L0,,,,,,,,,,
framework_control,KSI-IAM-05,fedramp-20x@CR26-2026-06-24,unverifiable,L0,,,,,,,,,,
framework_control,SC-8,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,KSI-SVC-05,fedramp-20x@CR26-2026-06-24,unverifiable,L0,,,,,,,,,,
framework_control,KSI-MLA-03,fedramp-20x@CR26-2026-06-24,unverifiable,L0,,,,,,,,,,
framework_control,IA-2,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,KSI-MLA-07,fedramp-20x@CR26-2026-06-24,unverifiable,L0,,,,,,,,,,
framework_control,KSI-CNA-01,fedramp-20x@CR26-2026-06-24,unverifiable,L0,,,,,,,,,,
framework_control,AC-3,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,KSI-SVC-04,fedramp-20x@CR26-2026-06-24,unverifiable,L0,,,,,,,,,,
framework_control,KSI-SVC-08,fedramp-20x@CR26-2026-06-24,unverifiable,L0,,,,,,,,,,
framework_control,KSI-SVC-09,fedramp-20x@CR26-2026-06-24,unverifiable,L0,,,,,,,,,,
framework_control,SI-4,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,SI-10,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,SI-7,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,AU-12,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,SC-13,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,CM-3,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,SC-23,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,KSI-CMT-01,fedramp-20x@CR26-2026-06-24,unverifiable,L0,,,,,,,,,,
framework_control,KSI-SVC-03,fedramp-20x@CR26-2026-06-24,unverifiable,L0,,,,,,,,,,
framework_control,KSI-CMT-03,fedramp-20x@CR26-2026-06-24,unverifiable,L0,,,,,,,,,,
framework_control,AC-17,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,SC-4,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,AU-10,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,AC-2,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,KSI-IAM-07,fedramp-20x@CR26-2026-06-24,unverifiable,L0,,,,,,,,,,
framework_control,CA-7,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,AU-2,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,KSI-CNA-08,fedramp-20x@CR26-2026-06-24,unverifiable,L0,,,,,,,,,,
framework_control,IA-8,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,CM-7,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,AC-6,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
framework_control,CM-6,nist-sp-800-53@rev5,unverifiable,L0,,,,,,,,,,
evidence_digest,action-receipt:sha256:19af8adce77833b51e84f92a9f2f84788f2c9d9ecf23e6a7be017b46baa9674d,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:2af7b89cae1958869263ba678855b1d456a7472a508e5af01ea91011276f4d4d,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:2c3522089d2f180ccca95be14b089b180569c1f4d97eff8da2c1d895f05244b8,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:2ee101c64e740785d8f92b1b2c08e04750eaf8e6299ccd947871eaada573c87c,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:2fd211ea1021de665884313da317f718513198a30947d30524a2c2411db256e8,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:3e5e6ee82c5400c50e241732596b3339b72f3271de59dc9d304fab4a003635c3,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:4be0602532c956884655591f2f23da3b62085507179bb893c9a0336338cd1acc,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:4dad7f22ce65d3b021bde0cc104543962c1955a43188cfd6db326abd7b1dca0c,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:58efc8b06b8e3625e89aa899424b46c7f458626166932869fc99593d44d79fb1,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:5e0cb5fb278224ea8a21b43e31c91295aa5fa188d35f95714cf5108fbaa81655,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:5e20425cc1b077ab9bebbb0e9d3f52317d7ee3da64588b15e161fc6ecd4e09f8,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:6c77b45d605d7da6bcc93904763aa6de0e246cec1a2e7be9ccac6ed4fc3e4014,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:7754cc16d850c63b5bce74d408ab2bb4d8dec77ac70d177e7aea59ba10582875,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:85176f9d7b487dcaa79701b26dd114d39729740db2cd34b5bb30f2ec55d23f24,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:871674ca03c0b1253696eaa064d1faa8eb81baa7ed76f0be5f7ee486a1e5f30d,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:9a6f38ce5afa4a4a7fce281d617df9466ae0fdf9c0d4424684b4e838ee50094a,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:bb9c145092b10b819c7e21a0057c03f32881d2f2fdc44c6a4bf85a360003b4e3,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:cb11547efc15720368693fd6420ecd08e330b6e8b2fb9925e358d06232aa55e0,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:d12c98bbbc3fe0c8cb8b21cf7348d18cda07d2810c0e6eaf6feaca053ee7559c,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:d19f598126265496d6cbad2dd85dcb160cabed5ada5e656d2faef6021871e6b6,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:e27e56c787db8d748ce7be23c265589185672e54abb330de23deb7725a01b3cd,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:e28642027798b1b34509c90a1ced86205c8f153fe709b8e30aa4b8bda34325d6,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,action-receipt:sha256:e5e807ef20e8d17fe64752d62b761c0af31cc900a4c2b7b8cee781b58c55d1fa,action-receipt,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,commitment:sha256:0a59402c8eef2494fa634014a2ddb5fa1f86fdec15ea9b16212f65af510d5b33,commitment,,,,,,,,,unverified,,,
evidence_digest,commitment:sha256:60206b62362608f9b6606e5fe8f77b5a27f3417d76700c615aa3f71af05cb5b7,commitment,,,,,,,,,unverified,,,
evidence_digest,commitment:sha256:71680f88acfab9cb4ec7865cc43c7a5a894ef7c8d37252210feb9dcd4d3721f0,commitment,,,,,,,,,unverified,,,
evidence_digest,commitment:sha256:7d9c2875a23e4001a90cf052caf81a589b1b858809e4cc81f8920cb0f7c00e98,commitment,,,,,,,,,unverified,,,
evidence_digest,commitment:sha256:9e80c59f4303f8635f171610bfa573ff99cd10073f775b955e0f2abc10819e44,commitment,,,,,,,,,unverified,,,
evidence_digest,commitment:sha256:a127a0f7212d1c6f6e8c8f005d417dedf767103b9ddb9e1d479e6b0550f664b4,commitment,,,,,,,,,unverified,,,
evidence_digest,commitment:sha256:c3c42812f5143d431e8667b6719d178ff9214d8cb50a13516c108342662d43b2,commitment,,,,,,,,,unverified,,,
evidence_digest,commitment:sha256:cfa1d5d5c61313e1d632c9d60f07a179ccfc21fc59cce136dc0f65bc3fdd5cc1,commitment,,,,,,,,,unverified,,,
evidence_digest,protocol-chain:sha256:02c9ba91e372c05d65716f8981377884a8c2e5a68094f87269e80d055a0035d7,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:041a6c7a87e19b089e1f401cdbe03f662f8af17f241ed53124942551c2218102,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:33bc0dd3c863dc5d3e12c3dc674c4004a45b391a20b72d61e2fa1854f640b9f2,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:3c9d168f7ad00d0087cf7406f75840934e6890a77385fb5b05bec799444d5dc3,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:3ee0fe6c050be54feb03a905a59a0718051da68b8104711d441a0bf3fc418391,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:411f07490ad571e1b7fe8a6886518d292a78bf48fadd06836c5e036fffc4da8c,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:424db8c84dc36cea2f0cc1aef9912cb2b10bc2e5449b32e20c6df78ff3d344f9,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
evidence_digest,protocol-chain:sha256:447736d15f769b21528039a6a6937c85711c9918b523189ed75bb23d30ecb26a,protocol-chain,,,,,,,,,verified,g8e-receipt-evidence-importer@1.0.0,,
